

    NODE   SXX         SYY         SZZ         SXY         SYZ         SZX  
       1  -0.99997E+002   0.39305E-003  -0.70334E-003   0.21602E-002  -0.32117E-005  -0.41695E-003
       2  -0.99997E+002   0.24338E-003  -0.93307E-003   0.19486E-002   0.12429E-005  -0.36954E-003
       3  -0.99997E+002   0.93715E-004  -0.11628E-002   0.17371E-002  -0.26581E-012  -0.42154E-012
       4  -0.99997E+002   0.24338E-003  -0.93307E-003   0.19486E-002  -0.12429E-005   0.36954E-003
       5  -0.99997E+002   0.39305E-003  -0.70334E-003   0.21602E-002   0.32117E-005   0.41695E-003
       6  -0.99998E+002   0.16596E-002  -0.30115E-003   0.30519E-002   0.72504E-004  -0.25946E-003
       7  -0.99998E+002   0.14711E-002  -0.50252E-003   0.27794E-002   0.58850E-004  -0.23795E-003
       8  -0.99998E+002   0.12826E-002  -0.70389E-003   0.25069E-002  -0.37188E-012  -0.47304E-012
       9  -0.99998E+002   0.14711E-002  -0.50252E-003   0.27794E-002  -0.58850E-004   0.23795E-003
      10  -0.99998E+002   0.16596E-002  -0.30115E-003   0.30519E-002  -0.72504E-004   0.25946E-003
      11  -0.10000E+003   0.36508E-002   0.10003E-003   0.35774E-002   0.17348E-003  -0.68704E-004
      12  -0.10000E+003   0.34519E-002   0.31722E-005   0.32856E-002   0.13822E-003  -0.68406E-004
      13  -0.10000E+003   0.32529E-002  -0.93689E-004   0.29938E-002  -0.52662E-012  -0.39759E-012
      14  -0.10000E+003   0.34519E-002   0.31722E-005   0.32856E-002  -0.13822E-003   0.68406E-004
      15  -0.10000E+003   0.36508E-002   0.10003E-003   0.35774E-002  -0.17348E-003   0.68704E-004
      16  -0.10000E+003   0.49236E-002   0.21569E-003   0.21104E-002   0.12424E-003   0.28425E-005
      17  -0.10000E+003   0.47903E-002   0.22543E-003   0.19390E-002   0.10411E-003   0.21642E-006
      18  -0.10000E+003   0.46569E-002   0.23517E-003   0.17675E-002  -0.52167E-012  -0.30561E-012
      19  -0.10000E+003   0.47903E-002   0.22543E-003   0.19390E-002  -0.10411E-003  -0.21642E-006
      20  -0.10000E+003   0.49236E-002   0.21569E-003   0.21104E-002  -0.12424E-003  -0.28425E-005
      21  -0.10000E+003   0.54716E-002   0.33235E-003  -0.49825E-012  -0.27481E-012   0.41117E-004
      22  -0.10000E+003   0.53755E-002   0.37254E-003  -0.41562E-012  -0.30999E-012   0.30890E-004
      23  -0.10000E+003   0.52795E-002   0.41273E-003  -0.76741E-013  -0.30348E-012  -0.10926E-012
      24  -0.10000E+003   0.53755E-002   0.37254E-003   0.95014E-013  -0.19506E-012  -0.30890E-004
      25  -0.10000E+003   0.54716E-002   0.33235E-003   0.10525E-013  -0.12831E-012  -0.41117E-004
      26  -0.10000E+003   0.49236E-002   0.21569E-003  -0.21104E-002  -0.12424E-003   0.28425E-005
      27  -0.10000E+003   0.47903E-002   0.22543E-003  -0.19390E-002  -0.10411E-003   0.21642E-006
