    NODE   SXX         SYY         SZZ         SXY         SYZ         SZX  
       1  -0.19086E+001  -0.26753E+001  -0.12515E+002  -0.41494E+001  -0.42248E+001  -0.10714E+001
       2  -0.59022E+001  -0.25490E+001  -0.13482E+002  -0.30902E+001  -0.63630E+001  -0.91044E+000
       3  -0.98957E+001  -0.24227E+001  -0.14449E+002  -0.20310E+001   0.58666E-010   0.32413E-010
       4  -0.59022E+001  -0.25490E+001  -0.13482E+002  -0.30902E+001   0.63630E+001   0.91044E+000
       5  -0.19086E+001  -0.26753E+001  -0.12515E+002  -0.41494E+001   0.42248E+001   0.10714E+001
       6   0.12517E+001  -0.48617E+001  -0.75461E+001  -0.43966E+001  -0.37831E+001  -0.42688E+000
       7  -0.44510E+001  -0.86908E+001  -0.10525E+002  -0.45569E+001  -0.59688E+001  -0.13212E+001
       8  -0.10154E+002  -0.12520E+002  -0.13503E+002  -0.47172E+001   0.55017E-010  -0.41918E-010
       9  -0.44510E+001  -0.86908E+001  -0.10525E+002  -0.45569E+001   0.59688E+001   0.13212E+001
      10   0.12517E+001  -0.48617E+001  -0.75461E+001  -0.43966E+001   0.37831E+001   0.42688E+000
      11   0.57867E+000  -0.10777E+002  -0.42368E+001  -0.16531E+001  -0.16073E+001  -0.70210E+000
      12  -0.55285E+001  -0.16430E+002  -0.88930E+001  -0.28799E+001  -0.37994E+001  -0.31707E+001
      13  -0.11636E+002  -0.22083E+002  -0.13549E+002  -0.41066E+001   0.43945E-010  -0.10091E-009
      14  -0.55285E+001  -0.16430E+002  -0.88930E+001  -0.28799E+001   0.37994E+001   0.31707E+001
      15   0.57867E+000  -0.10777E+002  -0.42368E+001  -0.16531E+001   0.16073E+001   0.70210E+000
      16  -0.54310E+001  -0.15373E+002  -0.51890E+001   0.64393E+000  -0.32854E+000  -0.22168E+001
      17  -0.86536E+001  -0.14915E+002  -0.10763E+002   0.54690E-001  -0.17535E+001  -0.52730E+001
      18  -0.11876E+002  -0.14456E+002  -0.16337E+002  -0.53455E+000   0.25156E-010   0.55992E-010
      19  -0.86536E+001  -0.14915E+002  -0.10763E+002   0.54690E-001   0.17535E+001   0.52730E+001
      20  -0.54310E+001  -0.15373E+002  -0.51890E+001   0.64393E+000   0.32854E+000   0.22168E+001
      21  -0.76073E+001  -0.16241E+002  -0.44821E+001  -0.22669E-009   0.18249E-009  -0.28118E+001
      22  -0.92502E+001  -0.11802E+002  -0.11307E+002  -0.25223E-009   0.10746E-009  -0.59365E+001
      23  -0.10893E+002  -0.73628E+001  -0.18133E+002  -0.18910E-009  -0.36131E-010   0.27899E-009
      24  -0.92502E+001  -0.11802E+002  -0.11307E+002  -0.13940E-009  -0.45333E-010   0.59365E+001
      25  -0.76073E+001  -0.16241E+002  -0.44821E+001  -0.17836E-009   0.14040E-010   0.28118E+001
      26  -0.54310E+001  -0.15373E+002  -0.51890E+001  -0.64393E+000   0.32854E+000  -0.22168E+001
      27  -0.86536E+001  -0.14915E+002  -0.10763E+002  -0.54690E-001   0.17535E+001  -0.52730E+001
      28  -0.11876E+002  -0.14456E+002  -0.16337E+002   0.53455E+000  -0.14805E-009   0.27106E-009
      29  -0.86536E+001  -0.14915E+002  -0.10763E+002  -0.54690E-001  -0.17535E+001   0.52730E+001
      30  -0.54310E+001  -0.15373E+002  -0.51890E+001  -0.64393E+000  -0.32854E+000   0.22168E+001
      31   0.57867E+000  -0.10777E+002  -0.42368E+001   0.16531E+001   0.16073E+001  -0.70210E+000
      32  -0.55285E+001  -0.16430E+002  -0.88930E+001   0.28799E+001   0.37994E+001  -0.31707E+001
      33  -0.11636E+002  -0.22083E+002  -0.13549E+002   0.41066E+001  -0.16232E-009   0.51488E-010
      34  -0.55285E+001  -0.16430E+002  -0.88930E+001   0.28799E+001  -0.37994E+001   0.31707E+001
      35   0.57867E+000  -0.10777E+002  -0.42368E+001   0.16531E+001  -0.16073E+001   0.70210E+000
      36   0.12517E+001  -0.48617E+001  -0.75461E+001   0.43966E+001   0.37831E+001  -0.42688E+000
      37  -0.44510E+001  -0.86908E+001  -0.10525E+002   0.45569E+001   0.59688E+001  -0.13212E+001
      38  -0.10154E+002  -0.12520E+002  -0.13503E+002   0.47172E+001  -0.45236E-010  -0.69157E-010
      39  -0.44510E+001  -0.86908E+001  -0.10525E+002   0.45569E+001  -0.59688E+001   0.13212E+001
      40   0.12517E+001  -0.48617E+001  -0.75461E+001   0.43966E+001  -0.37831E+001   0.42688E+000
      41  -0.19086E+001  -0.26753E+001  -0.12515E+002   0.41494E+001   0.42248E+001  -0.10714E+001
      42  -0.59022E+001  -0.25490E+001  -0.13482E+002   0.30902E+001   0.63630E+001  -0.91044E+000
      43  -0.98957E+001  -0.24227E+001  -0.14449E+002   0.20310E+001   0.24134E-010  -0.59588E-010
      44  -0.59022E+001  -0.25490E+001  -0.13482E+002   0.30902E+001  -0.63630E+001   0.91044E+000
      45  -0.19086E+001  -0.26753E+001  -0.12515E+002   0.41494E+001  -0.42248E+001   0.10714E+001
      46  -0.22183E+000   0.15665E+000  -0.11703E+002  -0.14083E+001  -0.44965E+001   0.27307E+001
      47  -0.32389E+001   0.42130E+000  -0.12414E+002  -0.11753E+001  -0.53750E+001   0.30710E+001
      48  -0.62559E+001   0.68595E+000  -0.13126E+002  -0.94227E+000   0.10461E-010   0.19013E-010
      49  -0.32389E+001   0.42130E+000  -0.12414E+002  -0.11753E+001   0.53750E+001  -0.30710E+001
      50  -0.22183E+000   0.15665E+000  -0.11703E+002  -0.14083E+001   0.44965E+001  -0.27307E+001
      51  -0.24307E+001  -0.22697E+001  -0.61038E+001   0.93328E+000  -0.46629E+000   0.13285E+001
      52  -0.73968E+001  -0.65112E+001  -0.96700E+001  -0.70252E+000  -0.23131E+001   0.33488E+000
      53  -0.12363E+002  -0.10753E+002  -0.13236E+002  -0.23383E+001   0.26086E-010  -0.12067E-009
      54  -0.73968E+001  -0.65112E+001  -0.96700E+001  -0.70252E+000   0.23131E+001  -0.33488E+000
      55  -0.24307E+001  -0.22697E+001  -0.61038E+001   0.93328E+000   0.46629E+000  -0.13285E+001
      56  -0.24307E+001  -0.22697E+001  -0.61038E+001  -0.93328E+000   0.46629E+000   0.13285E+001
      57  -0.73968E+001  -0.65112E+001  -0.96700E+001   0.70252E+000   0.23131E+001   0.33488E+000
      58  -0.12363E+002  -0.10753E+002  -0.13236E+002   0.23383E+001  -0.74240E-010   0.58613E-010
      59  -0.73968E+001  -0.65112E+001  -0.96700E+001   0.70252E+000  -0.23131E+001  -0.33488E+000
      60  -0.24307E+001  -0.22697E+001  -0.61038E+001  -0.93328E+000  -0.46629E+000  -0.13285E+001
      61  -0.22183E+000   0.15665E+000  -0.11703E+002   0.14083E+001   0.44965E+001   0.27307E+001
      62  -0.32389E+001   0.42130E+000  -0.12414E+002   0.11753E+001   0.53750E+001   0.30710E+001
      63  -0.62559E+001   0.68595E+000  -0.13126E+002   0.94227E+000   0.59364E-011  -0.43493E-010
      64  -0.32389E+001   0.42130E+000  -0.12414E+002   0.11753E+001  -0.53750E+001  -0.30710E+001
      65  -0.22183E+000   0.15665E+000  -0.11703E+002   0.14083E+001  -0.44965E+001  -0.27307E+001
      66   0.40248E+000   0.55221E+000  -0.79058E+001  -0.90174E+000  -0.32495E+001   0.25187E+001
      67  -0.38992E+001  -0.22401E+001  -0.10077E+002  -0.16299E+001  -0.45344E+001   0.23270E+001
      68  -0.82008E+001  -0.50325E+001  -0.12248E+002  -0.23580E+001   0.12342E-010  -0.19318E-010
      69  -0.38992E+001  -0.22401E+001  -0.10077E+002  -0.16299E+001   0.45344E+001  -0.23270E+001
      70   0.40248E+000   0.55221E+000  -0.79058E+001  -0.90174E+000   0.32495E+001  -0.25187E+001
      71  -0.76443E+001  -0.64751E+001  -0.84524E+001   0.14572E+001   0.81771E+000   0.28353E-001
      72  -0.11303E+002  -0.66794E+001  -0.13153E+002   0.46290E+000  -0.66429E+000  -0.13415E+001
      73  -0.14961E+002  -0.68838E+001  -0.17853E+002  -0.53140E+000   0.20818E-011  -0.12082E-009
      74  -0.11303E+002  -0.66794E+001  -0.13153E+002   0.46290E+000   0.66429E+000   0.13415E+001
      75  -0.76443E+001  -0.64751E+001  -0.84524E+001   0.14572E+001  -0.81771E+000  -0.28353E-001
      76  -0.94003E+001  -0.74630E+001  -0.88060E+001  -0.42604E-009   0.29590E-010  -0.29372E+000
      77  -0.12371E+002  -0.52381E+001  -0.14705E+002  -0.43792E-009  -0.19274E-010  -0.17696E+001
      78  -0.15342E+002  -0.30133E+001  -0.20604E+002  -0.28059E-009  -0.63591E-010   0.94551E-010
      79  -0.12371E+002  -0.52381E+001  -0.14705E+002  -0.59176E-010  -0.36014E-010   0.17696E+001
      80  -0.94003E+001  -0.74630E+001  -0.88060E+001  -0.69736E-011  -0.12985E-010   0.29372E+000
      81  -0.76443E+001  -0.64751E+001  -0.84524E+001  -0.14572E+001  -0.81771E+000   0.28353E-001
      82  -0.11303E+002  -0.66794E+001  -0.13153E+002  -0.46290E+000   0.66429E+000  -0.13415E+001
      83  -0.14961E+002  -0.68838E+001  -0.17853E+002   0.53140E+000  -0.10019E-009   0.20348E-009
      84  -0.11303E+002  -0.66794E+001  -0.13153E+002  -0.46290E+000  -0.66429E+000   0.13415E+001
      85  -0.76443E+001  -0.64751E+001  -0.84524E+001  -0.14572E+001   0.81771E+000  -0.28353E-001
      86   0.40248E+000   0.55221E+000  -0.79058E+001   0.90174E+000   0.32495E+001   0.25187E+001
      87  -0.38992E+001  -0.22401E+001  -0.10077E+002   0.16299E+001   0.45344E+001   0.23270E+001
      88  -0.82008E+001  -0.50325E+001  -0.12248E+002   0.23580E+001  -0.17784E-010  -0.43086E-010
      89  -0.38992E+001  -0.22401E+001  -0.10077E+002   0.16299E+001  -0.45344E+001  -0.23270E+001
      90   0.40248E+000   0.55221E+000  -0.79058E+001   0.90174E+000  -0.32495E+001  -0.25187E+001
      91  -0.23804E+002   0.50870E+001  -0.95554E+001   0.37081E+001  -0.30709E+001   0.54900E+001
      92  -0.23038E+002   0.47759E+001  -0.12268E+002   0.35163E+001  -0.27917E+001   0.57786E+001
      93  -0.22271E+002   0.44648E+001  -0.14981E+002   0.33245E+001  -0.10927E-010  -0.69870E-010
      94  -0.23038E+002   0.47759E+001  -0.12268E+002   0.35163E+001   0.27917E+001  -0.57786E+001
      95  -0.23804E+002   0.50870E+001  -0.95554E+001   0.37081E+001   0.30709E+001  -0.54900E+001
      96  -0.25459E+002   0.79215E+001  -0.83532E+001   0.35527E+001  -0.16776E+001   0.49523E+001
      97  -0.25037E+002   0.68468E+001  -0.10920E+002   0.29489E+001  -0.19429E+001   0.51868E+001
      98  -0.24616E+002   0.57722E+001  -0.13487E+002   0.23450E+001   0.10758E-010  -0.53943E-010
      99  -0.25037E+002   0.68468E+001  -0.10920E+002   0.29489E+001   0.19429E+001  -0.51868E+001
     100  -0.25459E+002   0.79215E+001  -0.83532E+001   0.35527E+001   0.16776E+001  -0.49523E+001
     101  -0.27655E+002   0.10355E+002  -0.81580E+001   0.33651E+001   0.64437E+000   0.41151E+001
     102  -0.27940E+002   0.91519E+001  -0.10543E+002   0.22288E+001  -0.44772E+000   0.40840E+001
     103  -0.28225E+002   0.79491E+001  -0.12929E+002   0.10926E+001   0.28226E-010  -0.16267E-009
     104  -0.27940E+002   0.91519E+001  -0.10543E+002   0.22288E+001   0.44772E+000  -0.40840E+001
     105  -0.27655E+002   0.10355E+002  -0.81580E+001   0.33651E+001  -0.64437E+000  -0.41151E+001
     106  -0.29165E+002   0.81904E+001  -0.11297E+002  -0.58086E-009  -0.74632E-010   0.41276E+001
     107  -0.30830E+002   0.79074E+001  -0.15280E+002  -0.56331E-009  -0.86696E-010   0.34371E+001
     108  -0.32495E+002   0.76244E+001  -0.19263E+002  -0.25080E-009  -0.54218E-010  -0.13850E-010
     109  -0.30830E+002   0.79074E+001  -0.15280E+002   0.18334E-009  -0.16684E-011  -0.34371E+001
     110  -0.29165E+002   0.81904E+001  -0.11297E+002   0.32253E-009   0.63389E-011  -0.41276E+001
     111  -0.27655E+002   0.10355E+002  -0.81580E+001  -0.33651E+001  -0.64437E+000   0.41151E+001
