                         
    NODE       SX             SY             SZ             SXY            SYZ            SXZ     
       1   -0.36352E-002   0.42950E-002   0.36216E-003   0.45382E-003  -0.24736E-003  -0.12258E-003
       2   -0.33716E-002   0.45819E-002   0.23067E-003   0.11115E-002  -0.36570E-004  -0.19699E-004
       3   -0.30108E-002   0.51225E-002   0.25618E-003   0.20503E-002  -0.82953E-004  -0.52202E-004
       4   -0.27901E-002   0.58388E-002   0.21418E-003   0.30664E-002  -0.18486E-003  -0.88777E-004
       5   -0.27805E-002   0.66020E-002   0.17911E-003   0.41374E-002  -0.21426E-003  -0.95476E-004
       6   -0.29615E-002   0.73715E-002   0.16815E-003   0.52435E-002  -0.19316E-003  -0.94054E-004
       7   -0.33366E-002   0.81569E-002   0.16452E-003   0.64208E-002  -0.15486E-003  -0.96404E-004
       8   -0.39594E-002   0.89839E-002   0.16649E-003   0.77862E-002  -0.12108E-003  -0.10691E-003
       9   -0.49442E-002   0.99005E-002   0.18640E-003   0.95391E-002  -0.98337E-004  -0.12279E-003
      10   -0.65050E-002   0.10933E-001   0.16377E-003   0.12053E-001  -0.82650E-004  -0.15774E-003
      11   -0.92563E-002   0.12241E-001   0.21233E-003   0.16160E-001  -0.72802E-004  -0.17825E-003
      12   -0.13646E-001   0.13444E-001  -0.27436E-003   0.23677E-001   0.24522E-004  -0.30458E-003
      13   -0.22061E-001   0.10590E-001  -0.49970E-003   0.39490E-001   0.25826E-003  -0.80572E-004
      14   -0.20116E-002   0.65348E-002  -0.95743E-004   0.89331E-003  -0.11873E-004  -0.22432E-004
      15   -0.19340E-002   0.71564E-002   0.21113E-004   0.17361E-002  -0.57747E-004  -0.61000E-004
      16   -0.20153E-002   0.76650E-002   0.25249E-005   0.25702E-002  -0.71700E-004  -0.51439E-004
      17   -0.21699E-002   0.82541E-002  -0.24601E-004   0.33793E-002  -0.53856E-004  -0.29722E-004
      18   -0.24256E-002   0.88887E-002  -0.55416E-004   0.41798E-002  -0.38466E-004  -0.15261E-004
      19   -0.28025E-002   0.96198E-002  -0.83909E-004   0.50093E-002  -0.24946E-004  -0.13388E-004
      20   -0.33580E-002   0.10465E-001  -0.11460E-003   0.59272E-002  -0.16435E-004  -0.14840E-004
      21   -0.41733E-002   0.11471E-001  -0.15399E-003   0.70180E-002  -0.93367E-005  -0.15858E-004
      22   -0.53785E-002   0.12726E-001  -0.20668E-003   0.84248E-002   0.13422E-005  -0.17245E-004
      23   -0.72919E-002   0.14410E-001  -0.32509E-003   0.10450E-001   0.14016E-004  -0.21449E-004
      24   -0.10395E-001   0.16888E-001  -0.41991E-003   0.13626E-001   0.45679E-004  -0.11077E-004
      25   -0.16030E-001   0.20137E-001  -0.12167E-002   0.19718E-001   0.10654E-003  -0.10365E-003
      26   -0.25731E-001   0.25010E-001  -0.13185E-003   0.33764E-001   0.23438E-003   0.66476E-004
      27   -0.11089E-002   0.84658E-002   0.19519E-004   0.73080E-003  -0.38784E-005   0.27568E-005
      28   -0.10390E-002   0.88212E-002  -0.21926E-004   0.14377E-002  -0.28866E-005   0.54411E-005
      29   -0.10588E-002   0.92837E-002  -0.34625E-004   0.20930E-002  -0.58580E-006   0.93903E-006
      30   -0.11662E-002   0.98215E-002  -0.36623E-004   0.27138E-002   0.14536E-005  -0.32130E-005
      31   -0.13837E-002   0.10468E-001  -0.36169E-004   0.33298E-002   0.18171E-005  -0.52012E-005
      32   -0.17285E-002   0.11243E-001  -0.33847E-004   0.39620E-002   0.22601E-005  -0.60765E-005
      33   -0.22399E-002   0.12190E-001  -0.32806E-004   0.46440E-002   0.35042E-005  -0.63486E-005
      34   -0.29864E-002   0.13392E-001  -0.41674E-004   0.54299E-002   0.57528E-005  -0.74997E-005
      35   -0.41157E-002   0.14998E-001  -0.57050E-004   0.64193E-002   0.10076E-004  -0.77550E-005
      36   -0.58564E-002   0.17297E-001  -0.11939E-003   0.77647E-002   0.16718E-004  -0.12103E-004
      37   -0.88704E-002   0.20728E-001  -0.16728E-003   0.98786E-002   0.53097E-004  -0.16411E-004
      38   -0.14837E-001   0.26349E-001  -0.87369E-003   0.14054E-001   0.86784E-004  -0.58946E-004
      39   -0.25496E-001   0.35249E-001  -0.68119E-004   0.25280E-001   0.21719E-003   0.12058E-003
      40    0.18626E-003   0.97220E-002  -0.34494E-004   0.55924E-003  -0.18818E-005  -0.18468E-005
      41    0.26057E-003   0.99993E-002  -0.28907E-004   0.10871E-002   0.22704E-006  -0.37772E-005
      42    0.25812E-003   0.10374E-001  -0.16576E-004   0.15871E-002   0.61092E-006  -0.20043E-005
      43    0.17556E-003   0.10856E-001  -0.14542E-004   0.20692E-002   0.61606E-006  -0.80514E-006
      44    0.14296E-004   0.11463E-001  -0.13203E-004   0.25397E-002   0.10035E-005  -0.64095E-006
      45   -0.24233E-003   0.12226E-001  -0.15358E-004   0.30101E-002   0.15107E-005  -0.47149E-006
      46   -0.61978E-003   0.13200E-001  -0.20626E-004   0.34956E-002   0.23634E-005  -0.47184E-006
      47   -0.11727E-002   0.14481E-001  -0.32870E-004   0.40209E-002   0.41920E-005  -0.21440E-006
      48   -0.19919E-002   0.16250E-001  -0.44401E-004   0.46186E-002   0.70174E-005   0.30777E-006
      49   -0.33044E-002   0.18789E-001  -0.11267E-003   0.53696E-002   0.16039E-004  -0.82613E-006
      50   -0.55436E-002   0.22865E-001  -0.83216E-004   0.64158E-002   0.43486E-004   0.16430E-004
      51   -0.10179E-001   0.29345E-001  -0.92407E-003   0.82286E-002   0.10714E-003  -0.36282E-004
      52   -0.21636E-001   0.42253E-001  -0.18589E-003   0.15882E-001   0.31545E-003   0.10341E-003
      53    0.17050E-002   0.10625E-001  -0.97105E-005   0.40662E-003  -0.40395E-006  -0.10947E-006
      54    0.17566E-002   0.10830E-001  -0.11872E-004   0.82549E-003   0.10438E-006   0.90119E-006
      55    0.17581E-002   0.11141E-001  -0.93683E-005   0.12303E-002  -0.89907E-007   0.49289E-006
      56    0.17169E-002   0.11566E-001  -0.77050E-005   0.16209E-002   0.25727E-006   0.16029E-006
      57    0.16319E-002   0.12124E-001  -0.63187E-005   0.19988E-002   0.47000E-006   0.10444E-006
      58    0.15005E-002   0.12850E-001  -0.56908E-005   0.23657E-002   0.84405E-006   0.10020E-006
      59    0.13108E-002   0.13802E-001  -0.56727E-005   0.27237E-002   0.14879E-005   0.35445E-006
      60    0.10411E-002   0.15079E-001  -0.85851E-005   0.30727E-002   0.26144E-005   0.75209E-006
      61    0.63937E-003   0.16855E-001  -0.95726E-005   0.34137E-002   0.50701E-005   0.20399E-005
      62   -0.93642E-005   0.19461E-001  -0.46570E-004   0.37355E-002   0.13440E-004   0.26289E-005
      63   -0.11292E-002   0.23644E-001   0.25108E-004   0.40448E-002   0.11714E-004   0.22179E-004
      64   -0.34367E-002   0.30540E-001  -0.58198E-003   0.42606E-002   0.20354E-003   0.17052E-004
      65   -0.11973E-001   0.45015E-001  -0.24161E-003   0.68244E-002   0.44742E-003   0.20523E-003
      66    0.32428E-002   0.11311E-001  -0.50890E-005   0.34224E-003  -0.10467E-005   0.26087E-006
      67    0.32518E-002   0.11464E-001  -0.44457E-005   0.70907E-003  -0.89352E-007   0.64611E-007
      68    0.32506E-002   0.11721E-001  -0.23001E-005   0.10711E-002  -0.25012E-006   0.32950E-006
      69    0.32413E-002   0.12093E-001  -0.13108E-005   0.14253E-002  -0.14178E-006   0.63014E-006
      70    0.32280E-002   0.12599E-001  -0.48441E-006   0.17697E-002  -0.68427E-007   0.95504E-006
      71    0.32139E-002   0.13273E-001  -0.14757E-006   0.21018E-002   0.10559E-006   0.14002E-005
      72    0.32033E-002   0.14172E-001   0.37476E-006   0.24177E-002   0.36850E-006   0.20846E-005
      73    0.31984E-002   0.15391E-001  -0.12799E-005   0.27096E-002   0.10970E-005   0.31843E-005
      74    0.31972E-002   0.17103E-001   0.18229E-005   0.29600E-002   0.21991E-005   0.56348E-005
      75    0.32002E-002   0.19626E-001  -0.15884E-004   0.31270E-002   0.77080E-005   0.11198E-004
      76    0.31294E-002   0.23593E-001   0.10954E-004   0.31423E-002   0.20117E-005   0.18819E-004
      77    0.26439E-002   0.30744E-001  -0.21518E-003   0.27602E-002   0.14185E-003   0.89124E-004
      78    0.70613E-003   0.44040E-001  -0.43556E-003   0.22570E-002   0.24683E-003   0.47652E-003
      79    0.45035E-002   0.11902E-001  -0.10582E-005   0.35328E-003  -0.91430E-006   0.30109E-006
      80    0.44770E-002   0.12018E-001   0.75240E-006   0.71852E-003  -0.39826E-006   0.29936E-006
      81    0.44666E-002   0.12234E-001   0.51101E-006   0.10821E-002  -0.56725E-006   0.57509E-006
      82    0.44748E-002   0.12563E-001   0.14591E-005   0.14430E-002  -0.52751E-006   0.81310E-006
      83    0.45066E-002   0.13026E-001   0.26247E-005   0.18000E-002  -0.55054E-006   0.11649E-005
      84    0.45709E-002   0.13657E-001   0.41797E-005   0.21509E-002  -0.56047E-006   0.16773E-005
      85    0.46815E-002   0.14510E-001   0.66060E-005   0.24926E-002  -0.56793E-006   0.25137E-005
      86    0.48592E-002   0.15678E-001   0.87648E-005   0.28175E-002  -0.42978E-006   0.39221E-005
      87    0.51384E-002   0.17326E-001   0.18026E-004   0.31090E-002  -0.52313E-006   0.69724E-005
      88    0.55771E-002   0.19750E-001   0.97297E-005   0.33332E-002   0.61271E-006   0.12125E-004
      89    0.62093E-002   0.23612E-001   0.63645E-004   0.33763E-002   0.85468E-005   0.28053E-004
