
 CHARACTERS IN INTEGER FIELD    =   7
 OUTPUT DISPLAY TYPE            =   E 
 CHARACTERS PER OUTPUT FIELD    =  15
 CHARACTERS AFTER DECIMAL POINT =   5
 LINES PER PAGE                 =3784
 CHARACTERS PER LINE            = 140

 PRINT S    NODAL SOLUTION PER NODE

 *** WARNING ***                         CP =       1.234   TIME= 12:47:16
 The selected element set contains stiffness types (such as SURF154 )    
  which are not valid for error estimation.                              

 *** ANSYS - ENGINEERING ANALYSIS SYSTEM  RELEASE 2019 R2          19.4     ***
 DISTRIBUTED ANSYS Mechanical Enterprise                       

 00348435  VERSION=WINDOWS x64   12:47:16  AUG 04, 2019 CP=      1.234

 first try--Static Structural (B5)                                             


 
  ***** POST1 NODAL STRESS LISTING *****                                       
 
  LOAD STEP=     1  SUBSTEP=     1                                             
   TIME=    1.0000      LOAD CASE=   0                                         
 
  THE FOLLOWING X,Y,Z VALUES ARE IN GLOBAL COORDINATES                         
 
    NODE       SX             SY             SZ             SXY            SYZ            SXZ     
       1    0.24628E-002   0.95789E-003   0.27402E-003  -0.69263E-018  -0.56621E-018  -0.95301E-003
       2    0.20916E-002   0.82440E-003   0.26381E-003   0.58330E-017  -0.53952E-017   0.68977E-003
       3    0.20818E-002   0.81053E-003   0.23401E-003  -0.63133E-017   0.34923E-017  -0.66985E-003
       4    0.26670E-002   0.10322E-002   0.28202E-003   0.14593E-016  -0.52780E-017   0.96788E-003
       5    0.48338E-002   0.16040E-002  -0.25080E-003  -0.11060E-017  -0.22317E-017   0.35183E-003
       6    0.47170E-002   0.15662E-002  -0.24225E-003   0.12216E-016   0.37673E-017  -0.51317E-003
       7    0.45979E-002   0.15192E-002  -0.25745E-003   0.65166E-017   0.31773E-017  -0.67223E-003
       8    0.44782E-002   0.14659E-002  -0.28996E-003  -0.13762E-017   0.12482E-017  -0.82655E-003
       9    0.43412E-002   0.14013E-002  -0.33736E-003  -0.82410E-017   0.38094E-017  -0.97708E-003
      10    0.39389E-002   0.13686E-002  -0.28702E-004   0.22539E-017   0.60090E-018  -0.15393E-002
      11    0.66880E-002   0.23670E-002   0.74922E-004  -0.48605E-017  -0.14079E-018  -0.37364E-003
      12    0.53950E-002   0.16940E-002  -0.55497E-003   0.67935E-017   0.48569E-017  -0.13220E-002
      13    0.64790E-002   0.22836E-002   0.45618E-004  -0.63844E-017  -0.19568E-018  -0.72867E-004
      14    0.52196E-002   0.16447E-002  -0.52050E-003  -0.66720E-017   0.96292E-018   0.79916E-003
      15    0.35952E-002   0.11841E-002  -0.21195E-003   0.51257E-017  -0.25955E-017   0.87214E-003
      16    0.38457E-002   0.12834E-002  -0.17873E-003   0.48063E-017  -0.28545E-017   0.78237E-003
      17    0.40917E-002   0.14125E-002  -0.56107E-004   0.43835E-017  -0.22777E-017   0.75093E-003
      18    0.43133E-002   0.15470E-002   0.10661E-003   0.18597E-017  -0.19455E-017   0.81496E-003
      19    0.45424E-002   0.17114E-002   0.34723E-003   0.53393E-018   0.39585E-017   0.10018E-002
      20    0.46002E-002   0.18669E-002   0.73373E-003  -0.13115E-017  -0.10112E-018   0.13430E-002
      21    0.45308E-002   0.17024E-002   0.33320E-003  -0.29769E-017   0.14716E-017  -0.99515E-003
      22    0.43009E-002   0.15402E-002   0.99592E-004  -0.50782E-017   0.44438E-017  -0.81299E-003
      23    0.40939E-002   0.14165E-002  -0.46677E-004  -0.57130E-017   0.72886E-017  -0.75419E-003
      24    0.38429E-002   0.12909E-002  -0.15469E-003  -0.45244E-017   0.44352E-017  -0.77329E-003
      25    0.41403E-002   0.14019E-002  -0.13496E-003  -0.77273E-017   0.24909E-017  -0.10676E-002
      26    0.67646E-002   0.28334E-002   0.13308E-002   0.18494E-017   0.42567E-017   0.80734E-003
      27    0.65437E-002   0.23328E-002   0.12148E-003   0.28901E-017   0.43249E-017   0.15628E-003
      28    0.53137E-002   0.16818E-002  -0.50846E-003  -0.35044E-018   0.13353E-018  -0.76984E-003
      29    0.66263E-002   0.23595E-002   0.11527E-003   0.97507E-017   0.50819E-017   0.32079E-003
      30    0.54993E-002   0.17483E-002  -0.50424E-003   0.32842E-017   0.35016E-017   0.11644E-002
      31    0.40884E-002   0.13243E-002  -0.30477E-003   0.16220E-016  -0.31459E-017   0.11614E-002
      32    0.43022E-002   0.13860E-002  -0.34228E-003  -0.48132E-017   0.26064E-017   0.10005E-002
      33    0.44701E-002   0.14620E-002  -0.29297E-003  -0.35088E-017  -0.33597E-017   0.82971E-003
      34    0.45913E-002   0.15181E-002  -0.25394E-003  -0.10768E-016  -0.32066E-017   0.66976E-003
      35    0.47184E-002   0.15670E-002  -0.24126E-003  -0.99208E-017   0.75257E-018   0.51243E-003
      36    0.61777E-002   0.28057E-002   0.18387E-002   0.83043E-017   0.33299E-017   0.68311E-003
      37    0.61453E-002   0.27286E-002   0.16508E-002  -0.55728E-017   0.91716E-018  -0.70702E-003
      38    0.48066E-002   0.15368E-002  -0.41575E-003   0.26433E-017  -0.31384E-017   0.80073E-003
      39    0.62011E-002   0.27283E-002   0.15940E-002   0.48210E-017   0.36655E-017  -0.25729E-003
      40    0.50582E-002   0.15837E-002  -0.53329E-003  -0.12374E-016  -0.71857E-018   0.11017E-002
      41    0.55981E-002   0.24080E-002   0.12820E-002   0.48371E-017  -0.88200E-018   0.35526E-003
      42    0.55035E-002   0.22359E-002   0.88488E-003  -0.40607E-017  -0.36314E-017   0.42203E-004
