
 CHARACTERS IN INTEGER FIELD    =   7
 OUTPUT DISPLAY TYPE            =   E 
 CHARACTERS PER OUTPUT FIELD    =  15
 CHARACTERS AFTER DECIMAL POINT =   5
 LINES PER PAGE                 =****
 CHARACTERS PER LINE            = 140

 PRINT S    NODAL SOLUTION PER NODE

 *** WARNING ***                         CP =       5.188   TIME= 12:52:40
 The selected element set contains stiffness types (such as SURF154 )    
  which are not valid for error estimation.                              

 *** ANSYS - ENGINEERING ANALYSIS SYSTEM  RELEASE 2019 R2          19.4     ***
 DISTRIBUTED ANSYS Mechanical Enterprise                       

 00348435  VERSION=WINDOWS x64   12:52:40  AUG 04, 2019 CP=      5.188

 first try--Static Structural (C5)                                             


 
  ***** POST1 NODAL STRESS LISTING *****                                       
 
  LOAD STEP=     1  SUBSTEP=     1                                             
   TIME=    1.0000      LOAD CASE=   0                                         
 
  THE FOLLOWING X,Y,Z VALUES ARE IN GLOBAL COORDINATES                         
 
    NODE       SX             SY             SZ             SXY            SYZ            SXZ     
       1    0.53377E-002   0.22343E-002   0.10460E-002   0.19571E-010  -0.37745E-011   0.28595E-004
       2    0.53377E-002   0.22343E-002   0.10460E-002   0.13169E-010  -0.79804E-011   0.28595E-004
       3    0.53377E-002   0.22343E-002   0.10460E-002   0.34966E-011  -0.11871E-010   0.28595E-004
       4    0.53377E-002   0.22343E-002   0.10460E-002  -0.29582E-011  -0.18075E-010   0.28595E-004
       5    0.53377E-002   0.22343E-002   0.10460E-002  -0.78947E-011  -0.11429E-010   0.28595E-004
       6    0.53377E-002   0.22343E-002   0.10460E-002  -0.10379E-010  -0.76563E-011   0.28595E-004
       7    0.53377E-002   0.22343E-002   0.10460E-002  -0.51540E-011   0.15517E-011   0.28595E-004
       8    0.53261E-002   0.22243E-002   0.10289E-002   0.56054E-011  -0.20480E-011   0.15367E-004
       9    0.53261E-002   0.22243E-002   0.10289E-002   0.79554E-011   0.13210E-011   0.15367E-004
      10    0.53261E-002   0.22243E-002   0.10289E-002  -0.21939E-012   0.19430E-011   0.15367E-004
      11    0.53261E-002   0.22243E-002   0.10289E-002  -0.52186E-011  -0.60074E-011   0.15367E-004
      12    0.53261E-002   0.22243E-002   0.10289E-002  -0.14962E-010  -0.18697E-010   0.15367E-004
      13    0.53261E-002   0.22243E-002   0.10289E-002  -0.21928E-010  -0.13311E-010   0.15367E-004
      14    0.53261E-002   0.22243E-002   0.10289E-002  -0.12106E-010  -0.59951E-011   0.15367E-004
      15    0.54441E-002   0.17324E-002  -0.49432E-003   0.85467E-011   0.53414E-011   0.67054E-003
      16    0.54441E-002   0.17324E-002  -0.49432E-003   0.75168E-012   0.45468E-011   0.67054E-003
      17    0.54441E-002   0.17324E-002  -0.49432E-003  -0.22538E-011  -0.54426E-012   0.67054E-003
      18    0.54441E-002   0.17324E-002  -0.49432E-003   0.10701E-011  -0.32924E-011   0.67054E-003
      19    0.54441E-002   0.17324E-002  -0.49432E-003  -0.26141E-011   0.58801E-012   0.67054E-003
      20    0.54441E-002   0.17324E-002  -0.49432E-003  -0.37150E-011   0.40416E-012   0.67054E-003
      21    0.54441E-002   0.17324E-002  -0.49432E-003   0.61247E-011  -0.57285E-011   0.67054E-003
      22    0.54889E-002   0.17445E-002  -0.50469E-003   0.22896E-011   0.86301E-011   0.65150E-003
      23    0.54889E-002   0.17445E-002  -0.50469E-003   0.33289E-011   0.23978E-010   0.65150E-003
      24    0.54889E-002   0.17445E-002  -0.50469E-003   0.43736E-011   0.13463E-010   0.65150E-003
      25    0.54889E-002   0.17445E-002  -0.50469E-003  -0.50312E-012  -0.18646E-011   0.65150E-003
      26    0.54889E-002   0.17445E-002  -0.50469E-003  -0.76509E-011   0.65774E-011   0.65150E-003
      27    0.54889E-002   0.17445E-002  -0.50469E-003  -0.20154E-011   0.43332E-011   0.65150E-003
      28    0.54889E-002   0.17445E-002  -0.50469E-003  -0.48903E-011  -0.41538E-011   0.65150E-003
      29    0.56326E-002   0.18947E-002  -0.21919E-003   0.26904E-011   0.89050E-011   0.43139E-003
      30    0.56326E-002   0.18947E-002  -0.21919E-003   0.42440E-011   0.18359E-011   0.43139E-003
      31    0.56326E-002   0.18947E-002  -0.21919E-003   0.80082E-011  -0.73325E-011   0.43139E-003
      32    0.56326E-002   0.18947E-002  -0.21919E-003   0.39237E-011   0.15732E-011   0.43139E-003
      33    0.56326E-002   0.18947E-002  -0.21919E-003   0.11879E-010   0.63258E-011   0.43139E-003
      34    0.56326E-002   0.18947E-002  -0.21919E-003   0.12252E-010   0.65176E-012   0.43139E-003
      35    0.56326E-002   0.18947E-002  -0.21919E-003   0.55234E-011  -0.14111E-011   0.43139E-003
      36    0.53881E-002   0.17801E-002  -0.30208E-003   0.21989E-011   0.42310E-011   0.58423E-003
      37    0.53881E-002   0.17801E-002  -0.30208E-003   0.11085E-010  -0.13148E-011   0.58423E-003
      38    0.53881E-002   0.17801E-002  -0.30208E-003   0.17730E-010  -0.58160E-011   0.58423E-003
      39    0.53881E-002   0.17801E-002  -0.30208E-003   0.28048E-010  -0.65019E-011   0.58423E-003
      40    0.53881E-002   0.17801E-002  -0.30208E-003   0.26719E-010  -0.44866E-011   0.58423E-003
      41    0.53881E-002   0.17801E-002  -0.30208E-003   0.13524E-010   0.52196E-012   0.58423E-003
      42    0.53881E-002   0.17801E-002  -0.30208E-003  -0.55233E-011  -0.37791E-011   0.58423E-003
      43    0.55251E-002   0.17983E-002  -0.38696E-003  -0.21075E-011   0.33938E-011   0.37774E-003
      44    0.55251E-002   0.17983E-002  -0.38696E-003  -0.61829E-011   0.67779E-012   0.37774E-003
      45    0.55251E-002   0.17983E-002  -0.38696E-003  -0.10316E-010   0.11499E-011   0.37774E-003
      46    0.55251E-002   0.17983E-002  -0.38696E-003  -0.85914E-011   0.68508E-011   0.37774E-003
      47    0.55251E-002   0.17983E-002  -0.38696E-003  -0.38594E-011   0.12579E-010   0.37774E-003
      48    0.55251E-002   0.17983E-002  -0.38696E-003  -0.59479E-011   0.76360E-011   0.37774E-003
      49    0.55251E-002   0.17983E-002  -0.38696E-003  -0.46422E-011   0.21270E-011   0.37774E-003
      50    0.21520E-002   0.81609E-003   0.17971E-003  -0.53166E-011  -0.62796E-011   0.87199E-003
      51    0.21520E-002   0.81609E-003   0.17971E-003  -0.45369E-011  -0.15693E-010   0.87199E-003
      52    0.21520E-002   0.81609E-003   0.17971E-003  -0.47336E-011  -0.18910E-010   0.87199E-003
      53    0.21520E-002   0.81609E-003   0.17971E-003  -0.86634E-011  -0.99938E-011   0.87199E-003
      54    0.21520E-002   0.81609E-003   0.17971E-003  -0.48181E-011  -0.86513E-013   0.87199E-003
      55    0.21520E-002   0.81609E-003   0.17971E-003   0.16245E-012   0.31553E-011   0.87199E-003
      56    0.21520E-002   0.81609E-003   0.17971E-003   0.20940E-011   0.31941E-011   0.87199E-003
      57    0.17753E-002   0.70408E-003   0.23630E-003  -0.50415E-013  -0.81525E-011   0.71507E-003
      58    0.17753E-002   0.70408E-003   0.23630E-003  -0.57019E-011  -0.12553E-010   0.71507E-003
      59    0.17753E-002   0.70408E-003   0.23630E-003  -0.68321E-011  -0.20499E-010   0.71507E-003
      60    0.17753E-002   0.70408E-003   0.23630E-003  -0.37476E-011  -0.15101E-010   0.71507E-003
      61    0.17753E-002   0.70408E-003   0.23630E-003   0.38364E-011  -0.95342E-012   0.71507E-003
      62    0.17753E-002   0.70408E-003   0.23630E-003   0.76793E-011   0.86796E-011   0.71507E-003
      63    0.17753E-002   0.70408E-003   0.23630E-003   0.35373E-011   0.92611E-011   0.71507E-003
      64    0.25183E-002   0.87621E-003  -0.14880E-004  -0.30340E-011  -0.81494E-011  -0.92024E-003
      65    0.25183E-002   0.87621E-003  -0.14880E-004   0.21537E-011  -0.12707E-010  -0.92024E-003
      66    0.25183E-002   0.87621E-003  -0.14880E-004   0.71064E-011  -0.27275E-010  -0.92024E-003
      67    0.25183E-002   0.87621E-003  -0.14880E-004   0.98902E-011  -0.27992E-010  -0.92024E-003
      68    0.25183E-002   0.87621E-003  -0.14880E-004   0.13803E-010  -0.17016E-010  -0.92024E-003
      69    0.25183E-002   0.87621E-003  -0.14880E-004   0.78330E-011  -0.80671E-011  -0.92024E-003
      70    0.25183E-002   0.87621E-003  -0.14880E-004  -0.47017E-012  -0.91564E-011  -0.92024E-003
      71    0.23160E-002   0.88182E-003   0.20350E-003  -0.47441E-011  -0.45001E-011  -0.96175E-003
      72    0.23160E-002   0.88182E-003   0.20350E-003   0.60055E-011  -0.18060E-010  -0.96175E-003
      73    0.23160E-002   0.88182E-003   0.20350E-003  -0.14903E-011  -0.25231E-010  -0.96175E-003
      74    0.23160E-002   0.88182E-003   0.20350E-003  -0.13136E-011  -0.28326E-010  -0.96175E-003
      75    0.23160E-002   0.88182E-003   0.20350E-003   0.64087E-011  -0.21244E-010  -0.96175E-003
      76    0.23160E-002   0.88182E-003   0.20350E-003   0.47194E-011  -0.12683E-010  -0.96175E-003
      77    0.23160E-002   0.88182E-003   0.20350E-003   0.65783E-011  -0.78819E-011  -0.96175E-003
      78    0.18879E-002   0.66909E-003   0.23740E-004   0.31848E-011  -0.65213E-011  -0.62856E-003
      79    0.18879E-002   0.66909E-003   0.23740E-004   0.39147E-011  -0.87216E-011  -0.62856E-003
      80    0.18879E-002   0.66909E-003   0.23740E-004   0.28428E-011   0.69869E-012  -0.62856E-003
      81    0.18879E-002   0.66909E-003   0.23740E-004   0.11401E-010   0.88560E-011  -0.62856E-003
      82    0.18879E-002   0.66909E-003   0.23740E-004   0.11423E-010   0.12990E-010  -0.62856E-003
      83    0.18879E-002   0.66909E-003   0.23740E-004   0.91832E-011   0.14026E-010  -0.62856E-003
      84    0.18879E-002   0.66909E-003   0.23740E-004   0.53451E-011   0.92458E-011  -0.62856E-003
      85    0.17171E-002   0.67331E-003   0.20666E-003   0.44110E-011  -0.12642E-011  -0.68107E-003
      86    0.17171E-002   0.67331E-003   0.20666E-003   0.57959E-011   0.16378E-011  -0.68107E-003
      87    0.17171E-002   0.67331E-003   0.20666E-003   0.71501E-011   0.32583E-012  -0.68107E-003
      88    0.17171E-002   0.67331E-003   0.20666E-003   0.10836E-010   0.10072E-010  -0.68107E-003
      89    0.17171E-002   0.67331E-003   0.20666E-003   0.13988E-010   0.15803E-010  -0.68107E-003
      90    0.17171E-002   0.67331E-003   0.20666E-003   0.80542E-011   0.15449E-010  -0.68107E-003
      91    0.17171E-002   0.67331E-003   0.20666E-003   0.23591E-011   0.75152E-011  -0.68107E-003
      92    0.26479E-002   0.99453E-003   0.19357E-003  -0.50892E-011  -0.19931E-011   0.12029E-002
