
 CHARACTERS IN INTEGER FIELD    =   7
 OUTPUT DISPLAY TYPE            =   E 
 CHARACTERS PER OUTPUT FIELD    =  15
 CHARACTERS AFTER DECIMAL POINT =   5
 LINES PER PAGE                 =8788
 CHARACTERS PER LINE            = 140

 PRINT S    NODAL SOLUTION PER NODE

 *** WARNING ***                         CP =       0.812   TIME= 15:24:37
 The selected element set contains stiffness types (such as SURF154 )    
  which are not valid for error estimation.                              

 *** ANSYS - ENGINEERING ANALYSIS SYSTEM  RELEASE Release 18.2     18.2     ***
 DISTRIBUTED ANSYS Academic Teaching Introductory              

 01055371  VERSION=WINDOWS x64   15:24:37  FEB 18, 2018 CP=      0.812

 Simple Cube--Static Structural (A5)                                           


 
  ***** POST1 NODAL STRESS LISTING *****                                       
 
  LOAD STEP=     1  SUBSTEP=     1                                             
   TIME=    1.0000      LOAD CASE=   0                                         
 
  THE FOLLOWING X,Y,Z VALUES ARE IN GLOBAL COORDINATES                         
 
    NODE       SX             SY             SZ             SXY            SYZ            SXZ     
       1   -0.32697E-001  -0.43531E+000  -0.32697E-001   0.53105E-001   0.53105E-001  -0.91928E-003
       2   -0.17320E-001  -0.43441E+000  -0.17320E-001   0.19034E-001   0.19034E-001  -0.26813E-002
       3   -0.55351E-002  -0.39449E+000  -0.55351E-002   0.52980E-002   0.52980E-002  -0.29359E-002
       4   -0.16736E-002  -0.38076E+000  -0.16736E-002  -0.13325E-004  -0.13324E-004  -0.21332E-002
       5   -0.37431E-004  -0.37823E+000  -0.37426E-004  -0.22229E-002  -0.22229E-002  -0.15068E-002
       6    0.55445E-003  -0.38039E+000   0.55445E-003  -0.29780E-002  -0.29780E-002  -0.98874E-003
       7    0.74044E-003  -0.38437E+000   0.74044E-003  -0.30271E-002  -0.30271E-002  -0.60844E-003
       8    0.74566E-003  -0.38873E+000   0.74566E-003  -0.27277E-002  -0.27277E-002  -0.33142E-003
       9    0.72111E-003  -0.39271E+000   0.72111E-003  -0.22411E-002  -0.22411E-002  -0.13453E-003
      10    0.75420E-003  -0.39597E+000   0.75421E-003  -0.16030E-002  -0.16030E-002   0.87543E-006
