    NODE   SXX         SYY         SZZ         SXY         SYZ         SZX  
       1   0.15710E+002  -0.66614E+001   0.25250E+001   0.32178E+000   0.17059E+001  -0.32800E+000
       2   0.23413E+002  -0.10809E+002   0.50931E+001   0.76002E+000   0.34760E-002   0.25210E+001
       3   0.31117E+002  -0.14957E+002   0.76612E+001   0.11983E+001   0.31636E-009  -0.41303E-009
       4   0.23413E+002  -0.10809E+002   0.50931E+001   0.76002E+000  -0.34760E-002  -0.25210E+001
       5   0.15710E+002  -0.66614E+001   0.25250E+001   0.32178E+000  -0.17059E+001   0.32800E+000
       6   0.10979E+002  -0.20134E+002   0.11319E+001  -0.29341E+001   0.37651E+000  -0.58019E+000
       7   0.19512E+002  -0.22641E+002   0.45382E+001  -0.31334E+001   0.15075E+000   0.13910E+001
       8   0.28046E+002  -0.25147E+002   0.79446E+001  -0.33328E+001   0.53515E-010   0.11864E-009
       9   0.19512E+002  -0.22641E+002   0.45382E+001  -0.31334E+001  -0.15075E+000  -0.13910E+001
      10   0.10979E+002  -0.20134E+002   0.11319E+001  -0.29341E+001  -0.37651E+000   0.58019E+000
      11   0.26579E+001  -0.45866E+002   0.11299E+001  -0.23907E+001  -0.26301E+001  -0.15736E+001
      12   0.11809E+002  -0.43690E+002   0.39462E+001  -0.33467E+001  -0.15944E+001  -0.30180E+000
      13   0.20960E+002  -0.41514E+002   0.67625E+001  -0.43027E+001  -0.29274E-009   0.92756E-009
      14   0.11809E+002  -0.43690E+002   0.39462E+001  -0.33467E+001   0.15944E+001   0.30180E+000
      15   0.26579E+001  -0.45866E+002   0.11299E+001  -0.23907E+001   0.26301E+001   0.15736E+001
      16   0.25152E+001  -0.62799E+002   0.37461E+001   0.33930E+001  -0.37497E+001  -0.25818E+001
      17   0.11015E+002  -0.58763E+002   0.68508E+001   0.25850E+001  -0.35920E+001  -0.97281E+000
      18   0.19515E+002  -0.54728E+002   0.99555E+001   0.17770E+001  -0.24543E-009   0.78191E-009
      19   0.11015E+002  -0.58763E+002   0.68508E+001   0.25850E+001   0.35920E+001   0.97281E+000
      20   0.25152E+001  -0.62799E+002   0.37461E+001   0.33930E+001   0.37497E+001   0.25818E+001
      21   0.59629E+001  -0.67473E+002   0.49712E+001   0.76288E-009  -0.66959E-009  -0.28487E+001
      22   0.14023E+002  -0.64619E+002   0.97926E+001   0.51817E-009  -0.31265E-009  -0.10811E+001
      23   0.22084E+002  -0.61764E+002   0.14614E+002   0.14145E-009  -0.64468E-011   0.10752E-009
      24   0.14023E+002  -0.64619E+002   0.97926E+001  -0.23028E-009   0.30610E-010   0.10811E+001
      25   0.59629E+001  -0.67473E+002   0.49712E+001  -0.47000E-009   0.11840E-009   0.28487E+001
      26   0.25152E+001  -0.62799E+002   0.37461E+001  -0.33930E+001   0.37497E+001  -0.25818E+001
      27   0.11015E+002  -0.58763E+002   0.68508E+001  -0.25850E+001   0.35920E+001  -0.97281E+000
      28   0.19515E+002  -0.54728E+002   0.99555E+001  -0.17770E+001   0.59181E-010  -0.23834E-009
      29   0.11015E+002  -0.58763E+002   0.68508E+001  -0.25850E+001  -0.35920E+001   0.97281E+000
      30   0.25152E+001  -0.62799E+002   0.37461E+001  -0.33930E+001  -0.37497E+001   0.25818E+001
      31   0.26579E+001  -0.45866E+002   0.11299E+001   0.23907E+001   0.26301E+001  -0.15736E+001
      32   0.11809E+002  -0.43690E+002   0.39462E+001   0.33467E+001   0.15944E+001  -0.30180E+000
      33   0.20960E+002  -0.41514E+002   0.67625E+001   0.43027E+001   0.11558E-009  -0.20252E-009
      34   0.11809E+002  -0.43690E+002   0.39462E+001   0.33467E+001  -0.15944E+001   0.30180E+000
      35   0.26579E+001  -0.45866E+002   0.11299E+001   0.23907E+001  -0.26301E+001   0.15736E+001
      36   0.10979E+002  -0.20134E+002   0.11319E+001   0.29341E+001  -0.37651E+000  -0.58019E+000
      37   0.19512E+002  -0.22641E+002   0.45382E+001   0.31334E+001  -0.15075E+000   0.13910E+001
      38   0.28046E+002  -0.25147E+002   0.79446E+001   0.33328E+001   0.74288E-010   0.26541E-009
